T535X2D,"Toxic effect of chlorofluorocarbons, intentional self-harm, subsequent encounter"
V564XXA,"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, initial encounter"
V564XXD,"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, subsequent encounter"
V564XXS,"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, sequela"
V565XXA,"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V565XXD,"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V565XXS,"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela"
V566XXA,"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V566XXD,"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V566XXS,"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela"
V567XXA,"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V567XXD,"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V567XXS,"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela"
V569XXA,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V569XXD,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V569XXS,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela"
V570XXA,"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
V570XXD,"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
V570XXS,"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela"
V571XXA,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
V571XXD,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
V571XXS,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela"
V572XXA,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
V572XXD,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
V572XXS,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela"
V573XXA,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
V573XXD,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
V573XXS,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela"
V574XXA,"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, initial encounter"
V574XXD,"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, subsequent encounter"
V574XXS,"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, sequela"
V575XXA,"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter"
V575XXD,"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
V575XXS,"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela"
V576XXA,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter"
V576XXD,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
V576XXS,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela"
V577XXA,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter"
V577XXD,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
V577XXS,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela"
V579XXA,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter"
V579XXD,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
V579XXS,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela"
V580XXA,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V580XXD,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V580XXS,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V581XXA,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V581XXD,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V581XXS,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V582XXA,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V582XXD,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V582XXS,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V583XXA,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V583XXD,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V583XXS,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V584XXA,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, initial encounter"
V584XXD,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, subsequent encounter"
V584XXS,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, sequela"
V585XXA,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V585XXD,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V585XXS,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V586XXA,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V586XXD,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V586XXS,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V587XXA,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V587XXD,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V587XXS,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V589XXA,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V589XXD,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V589XXS,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V5900XA,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
V5900XD,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
V5900XS,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
V5909XA,"Driver of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, initial encounter"
V5909XD,"Driver of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
V5909XS,"Driver of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, sequela"
V5910XA,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
V5910XD,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
V5910XS,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
V5919XA,"Passenger in pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, initial encounter"
V5919XD,"Passenger in pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
V5919XS,"Passenger in pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, sequela"
V5920XA,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
V5920XD,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
V5920XS,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
V5929XA,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, initial encounter"
V5929XD,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
V5929XS,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident, sequela"
V593XXA,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified nontraffic accident, initial encounter"
V593XXD,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified nontraffic accident, subsequent encounter"
V593XXS,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified nontraffic accident, sequela"
V5940XA,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
V5940XD,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
V5940XS,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, sequela"
V5949XA,"Driver of pick-up truck or van injured in collision with other motor vehicles in traffic accident, initial encounter"
V5949XD,"Driver of pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter"
V5949XS,"Driver of pick-up truck or van injured in collision with other motor vehicles in traffic accident, sequela"
V5950XA,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
V5950XD,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
V5950XS,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, sequela"
V5959XA,"Passenger in pick-up truck or van injured in collision with other motor vehicles in traffic accident, initial encounter"
V5959XD,"Passenger in pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter"
V5959XS,"Passenger in pick-up truck or van injured in collision with other motor vehicles in traffic accident, sequela"
V5960XA,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
V5960XD,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
V5960XS,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, sequela"
V5969XA,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, initial encounter"
V5969XD,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter"
V5969XS,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, sequela"
V5981XA,"Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle, initial encounter"
V5981XD,"Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle, subsequent encounter"
V5981XS,"Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle, sequela"
V5988XA,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents, initial encounter"
V5988XD,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents, subsequent encounter"
V5988XS,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents, sequela"
V599XXA,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident, initial encounter"
V599XXD,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident, subsequent encounter"
V599XXS,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident, sequela"
V600XXA,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V600XXD,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V600XXS,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
V601XXA,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V601XXD,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V601XXS,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
V602XXA,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V602XXD,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V602XXS,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
V603XXA,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V603XXD,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V603XXS,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
V604XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal, initial encounter"
V604XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal, subsequent encounter"
V604XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal, sequela"
V605XXA,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
V605XXD,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V605XXS,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
V606XXA,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
V606XXD,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V606XXS,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
V607XXA,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
V607XXD,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V607XXS,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
V609XXA,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
V609XXD,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V609XXS,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
V610XXA,"Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
V610XXD,"Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
V610XXS,"Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
V611XXA,"Passenger in heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
V611XXD,"Passenger in heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
V611XXS,"Passenger in heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
V612XXA,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
V612XXD,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
V612XXS,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
V613XXA,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
V613XXD,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
V613XXS,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
V614XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting, initial encounter"
V614XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting, subsequent encounter"
V614XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting, sequela"
V615XXA,"Driver of heavy transport vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
V615XXD,"Driver of heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
V615XXS,"Driver of heavy transport vehicle injured in collision with pedal cycle in traffic accident, sequela"
V616XXA,"Passenger in heavy transport vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
V616XXD,"Passenger in heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
V616XXS,"Passenger in heavy transport vehicle injured in collision with pedal cycle in traffic accident, sequela"
V617XXA,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
V617XXD,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
V617XXS,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident, sequela"
V619XXA,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
V619XXD,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
V619XXS,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, sequela"
V620XXA,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V620XXD,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V620XXS,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V621XXA,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V621XXD,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V621XXS,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V622XXA,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V622XXD,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V622XXS,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V623XXA,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V623XXD,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V623XXS,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V624XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, initial encounter"
V624XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
V624XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle, sequela"
V625XXA,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V625XXD,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V625XXS,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V626XXA,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V626XXD,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V626XXS,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V627XXA,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V627XXD,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V627XXS,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V629XXA,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V629XXD,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V629XXS,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V630XXA,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V630XXD,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V630XXS,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V631XXA,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V631XXD,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V631XXS,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V632XXA,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V632XXD,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V632XXS,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V633XXA,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V633XXD,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V633XXS,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V634XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van, initial encounter"
V634XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van, subsequent encounter"
V634XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van, sequela"
V635XXA,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V635XXD,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V635XXS,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
V636XXA,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V636XXD,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V636XXS,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
V637XXA,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V637XXD,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V637XXS,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
V639XXA,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V639XXD,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V639XXS,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
V640XXA,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V640XXD,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V640XXS,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V641XXA,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V641XXD,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V641XXS,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V642XXA,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V642XXD,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V642XXS,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V643XXA,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V643XXD,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V643XXS,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V644XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting, initial encounter"
V644XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting, subsequent encounter"
V644XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting, sequela"
V645XXA,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V645XXD,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V645XXS,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V646XXA,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V646XXD,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V646XXS,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V647XXA,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V647XXD,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V647XXS,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V649XXA,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V649XXD,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V649XXS,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V650XXA,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V650XXD,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V650XXS,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V651XXA,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V651XXD,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V651XXS,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V652XXA,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V652XXD,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V652XXS,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V653XXA,"Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V653XXD,"Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V653XXS,"Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V654XXA,"Person boarding or alighting a heavy transport vehicle injured in collision with railway train or railway vehicle, initial encounter"
V654XXD,"Person boarding or alighting a heavy transport vehicle injured in collision with railway train or railway vehicle, subsequent encounter"
V654XXS,"Person boarding or alighting a heavy transport vehicle injured in collision with railway train or railway vehicle, sequela"
V655XXA,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V655XXD,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V655XXS,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, sequela"
V656XXA,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
